,H_goal_diff,A_goal_diff,H_win,A_win,H_win_against,A_win_against
3254,39.0,-10.0,18.0,5.0,3.0,0.0
3255,-3.0,-4.0,4.0,6.0,3.0,0.0
3256,-12.0,23.0,5.0,12.0,0.0,2.0
3257,-1.0,-15.0,5.0,2.0,0.0,1.0
3258,19.0,20.0,13.0,12.0,1.0,1.0
3259,13.0,0.0,11.0,7.0,2.0,1.0
3260,19.0,1.0,11.0,7.0,3.0,0.0
3261,-8.0,-3.0,6.0,7.0,1.0,2.0
3262,-18.0,-6.0,4.0,5.0,0.0,1.0
3263,-9.0,-12.0,6.0,5.0,2.0,1.0
3264,18.0,-2.0,11.0,7.0,2.0,0.0
3265,-13.0,-4.0,6.0,5.0,1.0,1.0
3266,-17.0,-2.0,1.0,5.0,0.0,1.0
3267,-9.0,17.0,6.0,12.0,0.0,2.0
3268,17.0,51.0,11.0,19.0,1.0,1.0
3269,23.0,-28.0,12.0,4.0,0.0,0.0
3270,16.0,-2.0,12.0,7.0,2.0,1.0
3271,-4.0,20.0,5.0,11.0,0.0,1.0
3272,-5.0,23.0,6.0,12.0,0.0,1.0
3273,-2.0,-13.0,7.0,2.0,2.0,0.0
3274,0.0,-15.0,6.0,5.0,2.0,1.0
3275,45.0,-8.0,18.0,6.0,2.0,0.0
3276,-31.0,-23.0,4.0,3.0,0.0,0.0
3277,0.0,-9.0,6.0,6.0,1.0,1.0
3278,-5.0,20.0,4.0,11.0,0.0,3.0
3279,-14.0,23.0,4.0,12.0,1.0,2.0
3280,-25.0,22.0,3.0,12.0,0.0,1.0
3281,-14.0,17.0,4.0,12.0,0.0,3.0
3282,-1.0,-1.0,5.0,7.0,2.0,0.0
3283,24.0,-8.0,12.0,6.0,3.0,0.0
3284,-3.0,2.0,6.0,7.0,2.0,1.0
3285,41.0,-12.0,18.0,2.0,3.0,0.0
3286,-13.0,-6.0,5.0,6.0,0.0,1.0
3287,-4.0,-10.0,4.0,4.0,0.0,0.0
3288,-25.0,-16.0,5.0,5.0,3.0,0.0
3289,21.0,24.0,11.0,13.0,1.0,2.0
3290,20.0,-1.0,13.0,7.0,2.0,1.0
3291,-4.0,-20.0,7.0,5.0,2.0,0.0
3292,-4.0,-3.0,5.0,5.0,1.0,0.0
3293,-9.0,40.0,5.0,18.0,0.0,3.0
3294,2.0,-15.0,7.0,5.0,2.0,1.0
3295,16.0,-23.0,12.0,4.0,0.0,1.0
3296,-15.0,-2.0,2.0,4.0,1.0,2.0
3297,-2.0,-13.0,7.0,5.0,1.0,2.0
3298,31.0,10.0,14.0,10.0,1.0,1.0
3299,-18.0,16.0,4.0,12.0,0.0,3.0
3300,-4.0,1.0,7.0,7.0,1.0,0.0
3301,36.0,-3.0,14.0,7.0,2.0,1.0
3302,-15.0,-5.0,3.0,7.0,0.0,0.0
3303,-20.0,-6.0,4.0,7.0,2.0,1.0
3304,18.0,22.0,14.0,12.0,1.0,2.0
3305,-2.0,-9.0,8.0,7.0,0.0,2.0
3306,-18.0,-2.0,2.0,8.0,0.0,2.0
3307,-2.0,6.0,5.0,11.0,0.0,2.0
3308,-22.0,28.0,2.0,12.0,0.0,2.0
3309,11.0,-12.0,10.0,4.0,3.0,0.0
3310,-5.0,-12.0,7.0,5.0,2.0,1.0
3311,-8.0,-13.0,4.0,5.0,1.0,0.0
3312,-9.0,-2.0,5.0,4.0,2.0,1.0
3313,2.0,-24.0,7.0,5.0,1.0,0.0
3314,25.0,1.0,13.0,6.0,2.0,0.0
3315,-12.0,-3.0,5.0,7.0,1.0,2.0
3316,-14.0,-28.0,2.0,3.0,0.0,1.0
3317,-2.0,15.0,7.0,11.0,0.0,3.0
3318,19.0,20.0,12.0,12.0,1.0,2.0
3319,16.0,48.0,12.0,18.0,0.0,2.0
3320,-6.0,-3.0,5.0,7.0,2.0,1.0
3321,2.0,-4.0,7.0,7.0,0.0,1.0
3322,28.0,-13.0,14.0,4.0,0.0,1.0
3323,-1.0,-22.0,5.0,4.0,0.0,2.0
3324,-14.0,-5.0,5.0,5.0,0.0,3.0
3325,15.0,-23.0,11.0,4.0,1.0,0.0
3326,-12.0,-16.0,5.0,2.0,2.0,0.0
3327,-10.0,20.0,4.0,12.0,0.0,1.0
3328,36.0,18.0,17.0,11.0,2.0,1.0
3329,2.0,17.0,7.0,13.0,0.0,3.0
3330,7.0,-2.0,10.0,6.0,1.0,2.0
